Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
U7,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,IC:TSSOP-16,94.5,61.6,90,front
PD11,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,154.4082,106.4508,7.387,front
C3,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,76.25,64.25,-90,front
C29,330p C0G,Murata,GRM1555C1H331JA01D,C76965,C:0402,103.65,65.3,180,front
C1,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,85,58.25,0,front
RF10,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,138.888,64,0,front
C21,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,88.75,65,90,front
D6,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,62.9055,66.2981,-174.743,front
C35,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,55.25,64,0,front
CF1,22p C0G,FH,0402CG220J500NT,C1555,C:0402,72.888,60.875,90,front
CF9,22p C0G,FH,0402CG220J500NT,C1555,C:0402,142.638,64.25,90,front
PD16,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,118.1743,73.9765,-104.792,front
C40,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,C:0603,113.8,71.8,90,front
C31,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,92,66.5,90,front
R1,2.67k,Viking,ARG02FTC2671,C284464,R:0402,125.75,68.25,0,front
CF13,22p C0G,FH,0402CG220J500NT,C1555,C:0402,148.388,61.025,90,front
C11,10n X7R,Samsung Electro-Mechanics,CL05B103KB5NNNC,C15195,C:0402,104.338,63.7,90,front
CF4,22p C0G,FH,0402CG220J500NT,C1555,C:0402,83.362,60.125,90,front
C18,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,116,58.25,90,front
C33,1n,FH,0402CG102J500NT,C53547,C:0402,54.6,67.8,90,front
U2,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IC:TSSOP-14,77.5,60.5,0,front
D12,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,171.5099,93.9754,74.093,front
CF3,22p C0G,FH,0402CG220J500NT,C1555,C:0402,82.112,60.125,90,front
CF8,22p C0G,FH,0402CG220J500NT,C1555,C:0402,71.612,59.775,90,front
R10,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,130.25,66,0,front
C32,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,100.9,67.2,0,front
C37,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,137,63.6,0,front
R28,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,128.9,60.4,0,front
PD2,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,86.2325,106.021,8.481,front
R15,100k,UNI-ROYAL,0402WGF1003TCE,C25741,R:0402,50.2,68,90,front
R7,4.7k,UNI-ROYAL,0402WGF4701TCE,C25900,R:0402,106.5,72,90,front
R13,47,UNI-ROYAL,0402WGF470JTCE,C25118,R:0402,88.25,58.5,0,front
U16,TLV9062IDGKR,Texas Instruments,TLV9062IDGKR,C398356,IC:VSSOP-8_3x3mm_P0.65mm,100.5,61.2,90,front
D4,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,48.4901,93.9754,-74.093,front
D1,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,96.7988,99.1302,60.632,front
C25,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,C:0603,147.5,65.25,0,front
D7,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,84.912,66.631599,172.509,front
C7,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,88.138,59.55,0,front
D19,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,D:SOD-523,53.66,57.965,0,front
PD8,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,101.8327,74.0665,106.613,front
U12,SN74LVC1G123DCTR,Texas Instruments,SN74LVC1G123DCTR,C123302,IC:SSOP-8,52.4,66.2,90,front
D18,"PESD3V3U1UB,115",Nexperia,"PESD3V3U1UB,115",C2443469,D:SOD-523,163.3,64.65,180,front
C9,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,127.25,66.25,90,front
D15,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,135.0707,66.5788,-173.002,front
PD15,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,PD:1206,139.9941,65.9781,-174.859,front
C13,100n,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,C:0402,102.75,71.25,0,front
C26,10u,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,C:0603,128.5,67,90,front
D16,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,117.9303,78.6886,-87.24,front
C46,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,100.5,68.2,0,front
C23,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,152,65.25,90,front
U14,TPS259470ARPWR,Texas Instruments,TPS259470ARPWR,C3662799,IC:VQFN-10-HR,137,60.5,0,front
C20,1u,CCTC,TCC0402X7R105K160AT,C49210445,C:0402,106,70.5,0,front
D3,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,60.7691,105.5578,-11.779,front
R19,10k,UNI-ROYAL,0402WGF1002TCE,C25744,R:0402,91.2,64.6,90,front
D14,IR11-21C/TR8,Everlight,IR11-21C/TR8,C19269752,IR:1206,157.094499,66.2981,174.743,front
