Reference,Value,Manufacturer,MPN,LCSC,Footprint,X_mm,Y_mm,Rotation_deg,Side
RF6,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,62.388,63.025,90.0,front
CF6,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,65.888,64.775,0.0,front
PD7,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,80.031,66.001599,176.212,front
D7,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,84.912,66.631599,172.509,front
RF7,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,69.862,64.775,0.0,front
CF7,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,71.612,63.025,90.0,front
PD8,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,101.8327,74.0665,106.613,front
D8,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,102.0915,78.7534,87.41,front
RF8,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,69.862,58.025,0.0,front
CF8,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,71.612,59.775,90.0,front
U7,TMUX1308PWR,Texas Instruments,TMUX1308PWR,C970231,IR_Glasses:TSSOP-16_4.4x5mm_P0.65mm,95.0,62.0,0.0,front
U4,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,142.5,60.5,0.0,front
U5,TLV9064IPWR,Texas Instruments,TLV9064IPWR,C779410,IR_Glasses:TSSOP-14_4.4x5mm_P0.65mm,153.0,61.4,0.0,front
PD9,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,121.206099,94.7917,-70.355,front
D9,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,123.253199,99.2161,-63.186,front
RF9,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,137.888,58.875,90.0,front
CF9,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,137.888,60.875,90.0,front
PD10,PD15-21B/TR8,Everlight,PD15-21B/TR8,C2921391,IR_Glasses:Everlight_PD15_21B,133.767499,106.021,-8.481,front
D10,IR11-21C/TR8,Everlight,IR11-21C/TR8,C16745,IR_Glasses:Everlight_IR11_21C,138.6922,106.6029,-6.53,front
RF10,100k,UNI-ROYAL,0402WGF1003TCE,C25741,IR_Glasses:R_0402_1005Metric,137.888,62.875,90.0,front
CF10,22p C0G,FH,0402CG220J500NT,C1555,IR_Glasses:C_0402_1005Metric,136.638,62.125,90.0,front
