Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity
D8,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
D9,IR11-21C/TR8,IR:1206,Everlight,IR11-21C/TR8,C19269752,1
FB1,600R@100MHz 500mA,L:0603,Murata,BLM18AG601SN1D,C19330,1
J1,0.5K-AS-5PWB-RW,J:GUOCONN_0.5K-AS-5PWB-RW,GUOCONN,0.5K-AS-5PWB-RW,C51901197,1
PD1,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD10,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD11,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD12,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD13,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD14,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD15,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD16,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD2,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD3,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD4,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD5,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD6,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD7,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD8,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
PD9,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1
R1,2.67k,R:0402,Viking,ARG02FTC2671,C284464,1
R10,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R11,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1
R12,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1
R13,47,R:0402,UNI-ROYAL,0402WGF470JTCE,C25118,1
R14,100,R:0402,YAGEO,RC0402FR-07100RL,C106232,1
R15,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
R16,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R17,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1
R18,200,R:0402,UNI-ROYAL,0402WGF2000TCE,C25087,1
R19,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R2,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R20,6.2k,R:0402,UNI-ROYAL,0402WGF6201TCE,C25915,1
R27,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R28,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R29,110k,R:0402,UNI-ROYAL,0402WGF1103TCE,C25745,1
R3,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R4,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1
R5,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
R6,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1
R7,4.7k,R:0402,UNI-ROYAL,0402WGF4701TCE,C25900,1
R8,22,R:0402,UNI-ROYAL,0402WGF220JTCE,C25092,1
R9,22,R:0402,UNI-ROYAL,0402WGF220JTCE,C25092,1
RF1,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF10,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF11,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF12,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF13,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF14,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF15,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF16,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF2,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF3,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF4,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF5,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF6,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF7,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF8,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
RF9,100k,R:0402,UNI-ROYAL,0402WGF1003TCE,C25741,1
U1,TLC59283RGER,IC:VQFN-24,Texas Instruments,TLC59283RGER,C485815,1
U10,LSM6DS3TR-C,IC:LGA-14,STMicroelectronics,LSM6DS3TR-C,C967633,1
U11,"PESD3V3L2BT,215",IC:SOT-23,Nexperia,"PESD3V3L2BT,215",C55440,1
U12,SN74LVC1G123DCTR,IC:SSOP-8,Texas Instruments,SN74LVC1G123DCTR,C123302,1
U13,SN74LVC1G04DBVR,IC:SOT-23-5,Texas Instruments,SN74LVC1G04DBVR,C7827,1
U14,TPS259470ARPWR,IC:VQFN-10-HR,Texas Instruments,TPS259470ARPWR,C3662799,1
U16,TLV9062IDGKR,IC:VSSOP-8_3x3mm_P0.65mm,Texas Instruments,TLV9062IDGKR,C398356,1
U18,TPS2553DRVR,IC:TPS2553_DRV0006,Texas Instruments,TPS2553DRVR,C138719,1
U19,TPS3702CX33DDCR,IC:TPS3702_DDC0006,Texas Instruments,TPS3702CX33DDCR,C2068031,1
U2,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1
U3,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1
U4,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1
U5,TLV9064IPWR,IC:TSSOP-14,Texas Instruments,TLV9064IPWR,C779410,1
U6,TLV9061IDBVR,IC:SOT-23-5,Texas Instruments,TLV9061IDBVR,C398358,1
U7,TMUX1308PWR,IC:TSSOP-16,Texas Instruments,TMUX1308PWR,C970231,1
U8,TMUX1308PWR,IC:TSSOP-16,Texas Instruments,TMUX1308PWR,C970231,1
U9,STM32F302CCT6,IC:LQFP-48,STMicroelectronics,STM32F302CCT6,C262946,1
