Comment,Designator,Footprint,LCSC Part #
0402WGF1003TCE,RF16,R:0402,C25741
0402WGF1003TCE,RF2,R:0402,C25741
0402WGF1003TCE,RF3,R:0402,C25741
0402WGF1003TCE,RF4,R:0402,C25741
0402WGF1003TCE,RF5,R:0402,C25741
0402WGF1003TCE,RF6,R:0402,C25741
0402WGF1003TCE,RF7,R:0402,C25741
0402WGF1003TCE,RF8,R:0402,C25741
0402WGF1003TCE,RF9,R:0402,C25741
TLC59283RGER,U1,IC:VQFN-24,C485815
LSM6DS3TR-C,U10,IC:LGA-14,C967633
"PESD3V3L2BT,215",U11,IC:SOT-23,C55440
SN74LVC1G123DCTR,U12,IC:SSOP-8,C123302
SN74LVC1G04DBVR,U13,IC:SOT-23-5,C7827
TPS259470ARPWR,U14,IC:VQFN-10-HR,C3662799
TLV9062IDGKR,U16,IC:VSSOP-8_3x3mm_P0.65mm,C398356
TPS2553DRVR,U18,IC:TPS2553_DRV0006,C138719
TPS3702CX33DDCR,U19,IC:TPS3702_DDC0006,C2068031
TLV9064IPWR,U2,IC:TSSOP-14,C779410
TLV9064IPWR,U3,IC:TSSOP-14,C779410
TLV9064IPWR,U4,IC:TSSOP-14,C779410
TLV9064IPWR,U5,IC:TSSOP-14,C779410
TLV9061IDBVR,U6,IC:SOT-23-5,C398358
TMUX1308PWR,U7,IC:TSSOP-16,C970231
TMUX1308PWR,U8,IC:TSSOP-16,C970231
STM32F302CCT6,U9,IC:LQFP-48,C262946
