Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
C47,1u,C:0402,CCTC,TCC0402X7R105K160AT,C49210445,1,1uF X7R ±10% 16V 0402 Ceramic Capacitors ,https://www.lcsc.com/product-detail/C49210445.html
C48,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C49,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C5,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C6,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C7,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C8,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
C9,100n,C:0402,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525,1,CAP CER 100nF 16V X7R 0402; ±10%,https://www.lcsc.com/product-detail/C1525.html
CF1,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF10,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
CF11,22p C0G,C:0402,FH,0402CG220J500NT,C1555,1,CAP CER 22pF 50V C0G 0402; ±5%,https://www.lcsc.com/product-detail/C1555.html
