Reference,E6_X,E6_Y,E6_Angle,E6_Layer,E7_X,E7_Y,E7_Angle,E7_Layer,Status
D20,59.0,57.9,0.0,F.Cu,59.0,57.9,0.0,F.Cu,retained
D3,60.7691,105.5578,-11.779,F.Cu,60.7691,105.5578,-11.779,F.Cu,fixed
D4,48.4901,93.9754,-74.093,F.Cu,48.4901,93.9754,-74.093,F.Cu,fixed
D5,46.5765,73.926999,-102.15,F.Cu,46.5765,73.926999,-102.15,F.Cu,fixed
D6,62.9055,66.2981,-174.743,F.Cu,62.9055,66.2981,-174.743,F.Cu,fixed
D7,84.912,66.631599,172.509,F.Cu,84.912,66.631599,172.509,F.Cu,fixed
D8,102.0915,78.7534,87.41,F.Cu,102.0915,78.7534,87.41,F.Cu,fixed
D9,123.253199,99.2161,-63.186,F.Cu,123.253199,99.2161,-63.186,F.Cu,fixed
FB1,89.0,67.0,0.0,F.Cu,89.0,67.0,0.0,F.Cu,retained
FID1,49.849412,51.0,0.0,F.Cu,49.849412,51.0,0.0,F.Cu,fixed
FID2,167.154557,51.0,0.0,F.Cu,167.154557,51.0,0.0,F.Cu,fixed
FID3,49.849412,114.955476,0.0,F.Cu,49.849412,114.955476,0.0,F.Cu,fixed
H1,37.849412,51.0,0.0,F.Cu,37.849412,51.0,0.0,F.Cu,fixed
H2,182.154557,51.0,0.0,F.Cu,182.154557,51.0,0.0,F.Cu,fixed
H3,37.849412,114.955476,0.0,F.Cu,37.849412,114.955476,0.0,F.Cu,fixed
H4,182.154557,114.955476,0.0,F.Cu,182.154557,114.955476,0.0,F.Cu,fixed
J1,165.0,61.7,180.0,F.Cu,165.0,61.7,180.0,F.Cu,fixed
J2,55.5,61.0,0.0,F.Cu,55.5,61.0,0.0,F.Cu,fixed
PD1,98.7722,94.7937,69.734,F.Cu,98.7722,94.7937,69.734,F.Cu,fixed
PD10,133.767499,106.021,-8.481,F.Cu,133.767499,106.021,-8.481,F.Cu,fixed
PD11,154.4082,106.4508,7.387,F.Cu,154.4082,106.4508,7.387,F.Cu,fixed
PD12,170.1048,98.5678,64.946,F.Cu,170.1048,98.5678,64.946,F.Cu,fixed
PD13,174.106,78.5794,88.524,F.Cu,174.106,78.5794,88.524,F.Cu,fixed
PD14,161.961799,66.8263,168.75,F.Cu,161.961799,66.8263,168.75,F.Cu,fixed
PD15,139.9941,65.9781,-174.859,F.Cu,139.9941,65.9781,-174.859,F.Cu,fixed
PD16,118.1743,73.9765,-104.792,F.Cu,118.1743,73.9765,-104.792,F.Cu,fixed
PD2,86.2325,106.021,8.481,F.Cu,86.2325,106.021,8.481,F.Cu,fixed
PD3,65.5918,106.4508,-7.387,F.Cu,65.5918,106.4508,-7.387,F.Cu,fixed
PD4,49.8952,98.5678,-64.946,F.Cu,49.8952,98.5678,-64.946,F.Cu,fixed
PD5,45.894,78.5794,-88.524,F.Cu,45.894,78.5794,-88.524,F.Cu,fixed
PD6,58.0382,66.8263,-168.75,F.Cu,58.0382,66.8263,-168.75,F.Cu,fixed
PD7,80.031,66.001599,176.212,F.Cu,80.031,66.001599,176.212,F.Cu,fixed
PD8,101.8327,74.0665,106.613,F.Cu,101.8327,74.0665,106.613,F.Cu,fixed
PD9,121.206099,94.7917,-70.355,F.Cu,121.206099,94.7917,-70.355,F.Cu,fixed
R1,125.75,68.25,0.0,F.Cu,123.6,58.6,0.0,F.Cu,retained
R10,130.25,66.0,0.0,F.Cu,117.7,63.75,90.0,F.Cu,retained
R11,103.65,66.3,0.0,F.Cu,102.6,65.5,0.0,F.Cu,retained
R12,107.65,70.75,90.0,F.Cu,107.45,69.35,90.0,F.Cu,retained
R13,88.25,58.5,0.0,F.Cu,88.25,58.5,0.0,F.Cu,retained
R14,102.8,68.0,180.0,F.Cu,100.55,66.0,180.0,F.Cu,retained
R15,50.2,68.0,90.0,F.Cu,123.7,69.0,0.0,F.Cu,retained
R16,49.2,68.4,90.0,F.Cu,118.95,67.25,90.0,F.Cu,retained
R17,61.5,58.0,0.0,F.Cu,61.75,58.0,0.0,F.Cu,retained
R18,98.0,64.5,90.0,F.Cu,124.5,63.0,90.0,F.Cu,retained
R19,91.2,64.6,90.0,F.Cu,120.3,69.5,90.0,F.Cu,retained
R2,85.0,59.5,0.0,F.Cu,85.0,59.5,0.0,F.Cu,retained
R20,137.0,62.6,0.0,F.Cu,143.95,65.55,90.0,F.Cu,retained
R27,104.0,70.0,0.0,F.Cu,103.75,67.75,0.0,F.Cu,retained
R28,128.9,60.4,0.0,F.Cu,121.55,69.5,90.0,F.Cu,retained
R29,154.1,65.8,0.0,F.Cu,150.85,66.05,0.0,F.Cu,retained
R3,86.0,64.5,0.0,F.Cu,89.5,64.5,0.0,F.Cu,retained
R4,99.0,66.0,0.0,F.Cu,98.5,66.0,0.0,F.Cu,retained
R5,115.8,61.0,90.0,F.Cu,115.8,61.75,90.0,F.Cu,retained
R6,113.15,69.0,0.0,F.Cu,110.75,69.0,0.0,F.Cu,retained
R7,106.5,72.0,90.0,F.Cu,107.0,71.0,0.0,F.Cu,retained
R8,116.9,61.75,90.0,F.Cu,116.4,58.5,90.0,F.Cu,retained
R9,116.25,63.25,0.0,F.Cu,116.25,66.75,0.0,F.Cu,retained
RF1,72.888,58.875,90.0,F.Cu,72.888,58.875,90.0,F.Cu,retained
RF10,138.888,64.0,0.0,F.Cu,138.888,64.0,0.0,F.Cu,retained
RF11,145.362,63.875,0.0,F.Cu,145.362,63.875,0.0,F.Cu,retained
RF12,147.112,58.875,90.0,F.Cu,147.112,58.875,90.0,F.Cu,retained
RF13,150.138,58.025,0.0,F.Cu,150.138,58.025,0.0,F.Cu,retained
RF14,148.388,63.025,90.0,F.Cu,148.388,63.025,90.0,F.Cu,retained
RF15,158.112,64.25,0.0,F.Cu,158.112,64.25,0.0,F.Cu,retained
RF16,155.862,58.025,0.0,F.Cu,155.862,58.025,0.0,F.Cu,retained
RF2,74.638,63.875,0.0,F.Cu,74.638,63.875,0.0,F.Cu,retained
RF3,82.112,62.125,90.0,F.Cu,82.112,62.125,90.0,F.Cu,retained
RF4,82.612,58.375,0.0,F.Cu,82.612,58.375,0.0,F.Cu,retained
RF5,62.388,59.775,90.0,F.Cu,62.388,59.775,90.0,F.Cu,retained
RF6,62.388,63.025,90.0,F.Cu,62.388,63.025,90.0,F.Cu,retained
RF7,69.862,64.775,0.0,F.Cu,69.862,64.775,0.0,F.Cu,retained
RF8,69.862,58.025,0.0,F.Cu,69.862,58.025,0.0,F.Cu,retained
RF9,140.888,64.0,0.0,F.Cu,140.888,64.0,0.0,F.Cu,retained
TP1,94.0,66.05,0.0,B.Cu,54.5,66.05,180.0,F.Cu,retained
TP10,135.9,64.35,0.0,B.Cu,172.4,70.35,180.0,F.Cu,retained
TP11,109.7,70.3,0.0,B.Cu,114.2,72.55,180.0,F.Cu,retained
TP12,143.75,65.55,0.0,B.Cu,170.25,68.8,180.0,F.Cu,retained
TP2,100.25,58.3,0.0,B.Cu,96.25,66.8,180.0,F.Cu,retained
TP3,100.25,60.55,0.0,B.Cu,72.5,65.3,180.0,F.Cu,retained
TP4,101.0,62.8,0.0,B.Cu,94.0,66.8,180.0,F.Cu,retained
